"구분별(1)",구분별(2),2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 04,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 05,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06,2021. 01. 06
"구분별(1)",구분별(2),발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망,발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망,발생경로,발생경로,확진,확진,격리중,격리중,격리해제,격리해제,사망,사망
"구분별(1)",구분별(2),국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적,국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적,국내발생,해외유입,신규,누적,증감,누적,신규,누적,신규,누적
"전체",소계,985,35,1020,64264,268,18043,733,45240,19,981,672,43,715,64979,-243,17800,932,46172,26,1007,809,31,840,65818,-4,17796,823,46995,20,1027
"시도별",서울,324,5,329,20138,125,8224,200,11721,4,193,193,6,199,20338,-185,8039,374,12095,11,204,263,1,264,20602,-73,7966,334,12429,3,207
"시도별",부산,34,3,37,2007,13,502,23,1447,1,58,14,1,15,2022,5,507,8,1455,2,60,38,0,38,2060,-6,501,41,1496,3,63
"시도별",대구,29,0,29,7924,-3,362,31,7359,1,203,31,1,32,7956,-1,361,33,7392,0,203,21,1,22,7978,-8,353,30,7422,0,203
"시도별",인천,101,2,103,3126,71,847,32,2249,0,30,48,1,49,3175,2,849,45,2294,2,32,35,3,38,3213,23,872,14,2308,1,33
"시도별",광주,74,0,74,1211,69,315,5,889,0,7,23,0,23,1234,-4,311,27,916,0,7,30,0,30,1264,10,321,20,936,0,7
"시도별",대전,6,0,6,874,0,147,6,720,0,7,7,1,8,882,-5,142,13,733,0,7,8,1,9,891,-7,135,16,749,0,7
"시도별",울산,5,0,5,745,-4,217,8,498,1,30,4,0,4,749,-9,208,12,510,1,31,2,0,2,751,-13,195,15,525,0,31
"시도별",세종,0,0,0,154,-1,21,1,132,0,1,0,0,0,154,-1,20,1,133,0,1,1,0,1,155,1,21,0,133,0,1
"시도별",경기,260,8,268,15434,-35,3952,297,11190,6,292,214,16,230,15663,5,3957,221,11411,3,295,269,15,284,15947,148,4105,127,11538,9,304
"시도별",강원,28,0,28,1329,16,374,10,938,2,17,27,0,27,1356,1,375,26,964,0,17,16,0,16,1372,-24,351,40,1004,0,17
"시도별",충북,23,0,23,1271,2,567,21,676,0,28,32,0,32,1303,6,573,22,698,4,32,21,0,21,1324,-5,568,25,723,1,33
"시도별",충남,22,1,23,1707,2,472,20,1210,1,25,18,0,18,1725,-15,457,33,1243,0,25,23,1,24,1749,-20,437,44,1287,0,25
"시도별",전북,9,4,13,874,0,194,10,664,3,16,4,1,5,879,-20,174,23,687,2,18,22,0,22,901,4,178,15,702,3,21
"시도별",전남,3,0,3,592,-1,100,4,487,0,5,4,0,4,596,-2,98,5,492,1,6,1,0,1,597,-7,91,8,500,0,6
"시도별",경북,25,0,25,2507,-19,442,44,2003,0,62,24,0,24,2531,-18,424,42,2045,0,62,28,0,28,2559,-10,414,38,2083,0,62
"시도별",경남,33,0,33,1442,23,348,10,1089,0,5,21,0,21,1463,0,348,21,1110,0,5,26,3,29,1492,-4,344,33,1143,0,5
"시도별",제주,9,1,10,448,-1,161,11,287,0,0,8,0,8,456,-18,143,26,313,0,0,5,0,5,461,-18,125,23,336,0,0
"시도별",검역,0,11,11,2481,11,798,0,1681,0,2,0,16,16,2497,16,814,0,1681,0,2,0,6,6,2502,5,819,0,1681,0,2
"성별",남성,-,-,536,31423,-,-,-,-,8,491,-,-,356,31779,-,-,-,-,16,507,-,-,-,-,-,-,-,-,-,-
"성별",여성,-,-,484,32841,-,-,-,-,11,490,-,-,359,33200,-,-,-,-,10,500,-,-,-,-,-,-,-,-,-,-
"연령별",0-9세,-,-,40,2243,-,-,-,-,0,0,-,-,45,2288,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-
"연령별",10-19세,-,-,71,4027,-,-,-,-,0,0,-,-,44,4071,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-
"연령별",20-29세,-,-,120,10147,-,-,-,-,0,0,-,-,107,10254,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-
"연령별",30-39세,-,-,127,8184,-,-,-,-,0,4,-,-,105,8289,-,-,-,-,0,4,-,-,-,-,-,-,-,-,-,-
"연령별",40-49세,-,-,172,9144,-,-,-,-,0,7,-,-,112,9256,-,-,-,-,0,7,-,-,-,-,-,-,-,-,-,-
"연령별",50-59세,-,-,187,12073,-,-,-,-,0,32,-,-,124,12197,-,-,-,-,0,32,-,-,-,-,-,-,-,-,-,-
"연령별",60-69세,-,-,153,10186,-,-,-,-,1,116,-,-,108,10294,-,-,-,-,5,121,-,-,-,-,-,-,-,-,-,-
"연령별",70-79세,-,-,69,5028,-,-,-,-,3,277,-,-,44,5072,-,-,-,-,7,284,-,-,-,-,-,-,-,-,-,-
"연령별",80세 이상,-,-,81,3232,-,-,-,-,15,545,-,-,26,3258,-,-,-,-,14,559,-,-,-,-,-,-,-,-,-,-
